"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1612121700000,0.4548,0.455,0.4502,0.4502,884.54,401.12,"force_direct","",1612121700,"2021-01-31"
1612122000000,0.4574,0.4574,0.4543,0.4548,964.48,439.54,"force_direct","",1612122000,"2021-01-31"
1612122300000,0.4658,0.4658,0.4574,0.4574,3077.35,1420.12,"force_direct","",1612122300,"2021-01-31"
1612122600000,0.4682,0.47,0.4653,0.4658,649.98,303.77,"force_direct","",1612122600,"2021-01-31"
1612122900000,0.4703,0.475,0.4682,0.4682,1575.88,748.01,"force_direct","",1612122900,"2021-01-31"
1612123200000,0.4641,0.4703,0.4635,0.4703,3995.63,1853.15,"force_direct","",1612123200,"2021-01-31"
1612123500000,0.4623,0.4649,0.4593,0.4641,730.93,336.38,"force_direct","",1612123500,"2021-01-31"
1612123800000,0.46,0.4657,0.46,0.4623,2062.41,948.99,"force_direct","",1612123800,"2021-01-31"
1612124100000,0.4575,0.4614,0.4575,0.46,4700.18,2161.44,"force_direct","",1612124100,"2021-01-31"
1612124400000,0.4599,0.4618,0.4575,0.4575,195.4,89.99,"force_direct","",1612124400,"2021-01-31"
1612124700000,0.4596,0.4627,0.4596,0.4599,170.96,78.91,"force_direct","",1612124700,"2021-01-31"
1612125000000,0.4584,0.4596,0.4582,0.4596,1031.75,472.92,"force_direct","",1612125000,"2021-01-31"
1612125300000,0.4655,0.467,0.4584,0.4584,4039.92,1873.83,"force_direct","",1612125300,"2021-01-31"
1612125600000,0.4644,0.4655,0.4644,0.4655,21.53,10,"force_direct","",1612125600,"2021-01-31"
1612125900000,0.4589,0.4644,0.4589,0.4644,372.8,171.59,"force_direct","",1612125900,"2021-01-31"
1612126200000,0.4636,0.4636,0.4589,0.4589,1991.75,923.31,"force_direct","",1612126200,"2021-01-31"
1612126500000,0.4657,0.4662,0.4622,0.4636,2081.53,969.29,"force_direct","",1612126500,"2021-01-31"
1612126800000,0.464,0.4657,0.4609,0.4657,43,19.9,"force_direct","",1612126800,"2021-01-31"
1612127100000,0.4619,0.4646,0.4578,0.464,7232.33,3337.06,"force_direct","",1612127100,"2021-01-31"
1612127400000,0.4635,0.4635,0.4605,0.4619,10012.14,4633.5,"force_direct","",1612127400,"2021-01-31"
1612127700000,0.459,0.4639,0.459,0.4635,3723.32,1719.87,"force_direct","",1612127700,"2021-01-31"
1612128000000,0.463,0.463,0.459,0.459,191.49,88.66,"force_direct","",1612128000,"2021-01-31"
1612128300000,0.467,0.467,0.46,0.463,1343.81,623.72,"force_direct","",1612128300,"2021-01-31"
1612128600000,0.467,0.467,0.4637,0.467,1281.59,595.4,"force_direct","",1612128600,"2021-01-31"
1612128900000,0.4667,0.467,0.4665,0.467,246.65,115.12,"force_direct","",1612128900,"2021-01-31"
1612129200000,0.467,0.467,0.4649,0.4667,652.14,304.5,"force_direct","",1612129200,"2021-01-31"
1612129500000,0.4744,0.4744,0.467,0.467,34309.29,16126.68,"force_direct","",1612129500,"2021-01-31"
1612129800000,0.4799,0.4844,0.4744,0.4744,46429.57,22247.82,"force_direct","",1612129800,"2021-01-31"
1612130100000,0.4834,0.4843,0.4757,0.4799,1718.47,826.9,"force_direct","",1612130100,"2021-01-31"
1612130400000,0.4871,0.4871,0.4834,0.4834,500.65,243.04,"force_direct","",1612130400,"2021-01-31"
1612130700000,0.4941,0.4941,0.4871,0.4871,8055.77,3947.84,"force_direct","",1612130700,"2021-01-31"
1612131000000,0.4867,0.4941,0.4801,0.4941,1230.11,593.89,"force_direct","",1612131000,"2021-01-31"
1612131300000,0.4867,0.4867,0.4867,0.4867,0,0,"force_direct","",1612131300,"2021-01-31"
1612131600000,0.4774,0.4867,0.4773,0.4867,208.2,99.52,"force_direct","",1612131600,"2021-01-31"
1612131900000,0.4891,0.4891,0.4774,0.4774,2008.88,976.25,"force_direct","",1612131900,"2021-01-31"
1612132200000,0.4885,0.4891,0.4807,0.4891,1716.15,835,"force_direct","",1612132200,"2021-01-31"
1612132500000,0.488,0.4897,0.488,0.4885,62.69,30.68,"force_direct","",1612132500,"2021-01-31"
1612132800000,0.4895,0.491,0.488,0.488,960.33,470.47,"force_direct","",1612132800,"2021-01-31"
1612133100000,0.4928,0.4928,0.4857,0.4895,12244.51,6015.38,"force_direct","",1612133100,"2021-01-31"
1612133400000,0.4913,0.4935,0.4874,0.4928,6461.07,3180.42,"force_direct","",1612133400,"2021-01-31"
1612133700000,0.4926,0.4934,0.4913,0.4913,427.46,210.78,"force_direct","",1612133700,"2021-01-31"
1612134000000,0.487,0.4926,0.4853,0.4926,3171.23,1550.47,"force_direct","",1612134000,"2021-01-31"
1612134300000,0.4851,0.487,0.4851,0.487,723.32,351.46,"force_direct","",1612134300,"2021-01-31"
1612134600000,0.4858,0.4865,0.4816,0.4851,3949.41,1907.77,"force_direct","",1612134600,"2021-01-31"
1612134900000,0.4838,0.4858,0.4838,0.4858,10,4.838,"force_direct","",1612134900,"2021-01-31"
1612135200000,0.488,0.488,0.4838,0.4838,14582.01,7115.98,"force_direct","",1612135200,"2021-01-31"
1612135500000,0.4899,0.4899,0.4862,0.488,841.78,409.83,"force_direct","",1612135500,"2021-01-31"
1612135800000,0.4949,0.495,0.4863,0.4899,2253.32,1105.37,"force_direct","",1612135800,"2021-01-31"
1612136100000,0.4977,0.4977,0.4904,0.4949,3527.75,1738.87,"force_direct","",1612136100,"2021-01-31"
1612136400000,0.499,0.5,0.4952,0.4977,2526.64,1258.86,"force_direct","",1612136400,"2021-01-31"
1612136700000,0.4955,0.4998,0.4949,0.499,1154.05,572.99,"force_direct","",1612136700,"2021-01-31"
1612137000000,0.4949,0.4955,0.4907,0.4955,10070.05,4952.54,"force_direct","",1612137000,"2021-01-31"
1612137300000,0.4973,0.5012,0.494,0.4949,24569.91,12280.68,"force_direct","",1612137300,"2021-01-31"
1612137600000,0.48,0.4973,0.48,0.4973,1867.2,911.31,"force_direct","",1612137600,"2021-01-31"
1612137900000,0.469,0.4859,0.469,0.48,11636.88,5499.84,"force_direct","",1612137900,"2021-01-31"
1612138200000,0.4786,0.4809,0.469,0.469,10053.77,4810.94,"force_direct","",1612138200,"2021-01-31"
1612138500000,0.4744,0.4848,0.464,0.4786,5326.19,2522.29,"force_direct","",1612138500,"2021-01-31"
